"","fire_year","fire_size","latitude","longitude"
"130",2008,27,31.02416667,-93.02805556
"131",2008,2,36.46388889,-102.585
"132",2008,320,35.65972222,-99.95305556
"133",2008,0.1,43.97555556,-121.23361111
"134",2008,0.1,38.81388889,-119.76888889
"135",2008,0.1,34.67638889,-118.44388889
"136",2008,113,37.74861111,-90.99888889
"137",2008,1,40.04888889,-120.815
"138",2008,0.1,34.19027778,-117.86583333
"139",2008,12,34.06972222,-94.64416667
"140",2008,4,34.21972222,-94.785
"141",2008,4,34.21972222,-94.785
"142",2008,0.1,34.80805556,-94.94694444
"143",2008,0.1,34.16416667,-117.88805556
"144",2008,0.1,34.15972222,-117.9075
"145",2008,0.1,40.72666667,-123.22305556
"146",2008,0.1,40.82083333,-123.48194444
"147",2008,28,35.61,-99.71444444
"148",2008,0.5,37.6775,-91.01166667
"149",2008,5,37.92111111,-90.95416667
"150",2008,100,35.655,-99.89888889
"151",2008,2,37.69472222,-91.01
"152",2008,8.4,33.95638889,-82.43722222
"153",2008,2.12,33.95611111,-82.43638889
"154",2008,12.3,35.26055556,-120.51583333
"155",2008,1.5,35.23333333,-79.83222222
"156",2008,37,35.28555556,-79.82138889
"157",2008,15,33.30861111,-79.81222222
"158",2008,31,33.16638889,-79.86222222
"159",2008,8.5,33.20083333,-79.76694444
"160",2008,1,34.87444444,-76.86055556
"161",2008,300,36.7275,-84.39722222
"162",2008,1,31.02111111,-88.97277778
"163",2008,2,32.08805556,-89.66083333
"164",2008,1.6,31.48055556,-90.98444444
"165",2008,7,31.47416667,-90.96361111
"166",2008,46.5,31.58305556,-90.72083333
"167",2008,8.2,31.47472222,-90.97611111
"168",2008,2.5,31.04916667,-89.08833333
"169",2008,4,31.06333333,-89.08916667
"170",2008,0.1,33.63805556,-111.07805556
"171",2008,0.1,34.47944444,-118.29583333
"172",2008,0.02,39.77888889,-120.58305556
"173",2008,0.1,34.50277778,-118.25361111
"174",2008,2174,31.11833333,-89.14166667
"175",2008,2,30.69694444,-89.23888889
"176",2008,6.6,31.11777778,-88.85416667
"177",2008,118,31.07611111,-89.30805556
"178",2008,0.5,30.69805556,-88.90944444
"179",2008,0.25,33.34555556,-79.84305556
"180",2008,0.1,34.27388889,-111.31638889
"181",2008,1.6,33.63305556,-105.57194444
"182",2008,5,35.40166667,-83.62694444
"183",2008,3,33.04083333,-79.61305556
"184",2008,34,30.94666667,-89.34944444
"185",2008,7,30.95888889,-89.37555556
"186",2008,2,31.50138889,-88.80277778
"187",2008,0.5,31.45194444,-88.86722222
"188",2008,2.51,33.22277778,-79.82861111
"189",2008,12,37.79944444,-83.60611111
"190",2008,0.1,30.565,-88.85944444
"191",2008,0.1,30.91666667,-88.80916667
"192",2008,1.39,34.58277778,-89.23055556
"193",2008,0.1,30.72777778,-89.01111111
"194",2008,0.5,31.08416667,-89.01611111
"195",2008,177,36.82527778,-93.03222222
"196",2008,3.5,31.30138889,-90.04138889
"197",2008,0.35,34.33916667,-111.09638889
"198",2008,95,36.76833333,-82.82444444
"199",2008,5.32,34.83777778,-89.08
"200",2008,42,30.52416667,-88.97222222
"201",2008,210,30.81527778,-88.86166667
"202",2008,9,35.41666667,-83.85388889
"203",2008,7.43,31.11444444,-88.86277778
"204",2008,28.5,31.12583333,-88.86194444
"205",2008,20,35.31555556,-83.8275
"206",2008,0.5,31.05416667,-89.18111111
"207",2008,8,30.79388889,-88.90222222
"208",2008,20,30.63777778,-89.01916667
"209",2008,1,30.56166667,-89.11416667
"210",2008,0.6,31.07694444,-89.07444444
"211",2008,36.94,31.20527778,-89.135
"212",2008,0.25,30.67833333,-89.19888889
"213",2008,0.25,30.54888889,-88.85611111
"214",2008,5,31.405,-91.19444444
"215",2008,20,31.48027778,-90.95083333
"216",2008,0.5,30.67861111,-89.19833333
"217",2008,0.5,31.14472222,-95.20805556
"218",2008,6,33.42583333,-97.70138889
"219",2008,0.1,31.1625,-94.99527778
"220",2008,0.7,31.1625,-94.99333333
"221",2008,0.25,30.45055556,-95.66666667
"222",2008,2,31.64916667,-93.93277778
"223",2008,3.1,31.41027778,-93.825
